Country,Currency,Symbol,Code,Subunit,Former Currency
Albania,lek,L,ALL,qindarke,none
Andorra,euro,€,EUR,euro cent,none official
Armenia,dram,֏,AMD,luma,ruble
Austria,euro,€,EUR,euro cent,schilling
Azerbaijan,manat,₼,AZN,gapik,ruble
Belarus,ruble,Rbl,BYN,kopeck,old ruble
Belgium,euro,€,EUR,euro cent,franc
Bosnia and Herzegovina,mark,KM,BAM,fening,dinar
Bulgaria,lev,лв.,BGN,stotinka,old lev (BGL)
Croatia,euro,€,EUR,euro cent,Kuna
Cyprus,euro,€,EUR,euro cent,pound
Czech Republic,koruna,Kč,CZK,heller,Czechoslovak koruna
Denmark,krone,kr.,DKK,øre,rigsdaler
Estonia,euro,€,EUR,euro cent,kroon
Finland,euro,€,EUR,euro cent,markka
France,euro,€,EUR,euro cent,franc
Georgia,lari,₾,GEL,tetri,kuponi
Germany,euro,€,EUR,euro cent,mark
Greece,euro,€,EUR,euro cent,drachma
Hungary,forint,Ft.,HUF,fillér,pengő
Iceland,króna,Kr.,ISK,aurar,old króna
Ireland,euro,€,EUR,euro cent,punt
Italy,euro,€,EUR,euro cent,lira
Latvia,euro,€,EUR,euro cent,lats
Liechtenstein,franc,CHF,CHF,rappen,krone
Lithuania,euro,€,EUR,euro cent,litas
Luxembourg,euro,€,EUR,euro cent,franc
Malta,euro,€,EUR,euro cent,lira
Moldova,leu,L,MDL,bani,cupon
Monaco,euro,€,EUR,euro cent,franc
Montenegro,euro,€,EUR,euro cent,dinar
Netherlands,euro,€,EUR,euro cent,guilder
North Macedonia,denar,DEN,MKD,deni,old denar
Norway,krone,kr.,NOK,øre,speciedaler
Poland,złoty,zł,PLN,grosz,old złoty
Portugal,euro,€,EUR,euro cent,escudo
Romania,leu,lei,RON,bani,old leu
Russia,ruble,₽,RUB,kopeck,Soviet ruble
San Marino,euro,€,EUR,euro cent,lira
Serbia,dinar,DIN,RSD,para,Yugoslav dinar
Slovakia,euro,€,EUR,euro cent,koruna
Slovenia,euro,€,EUR,euro cent,tolar
Spain,euro,€,EUR,euro cent,peseta
Sweden,krona,kr.,SEK,öre,riksdaler
Switzerland,franc,CHF,CHF,rappen,none
Turkey,lira,₺,TRY,kuruş,old lira
Ukraine,hryvnia,₴,UAH,kopeck (копійка),karbovanets
United Kingdom,sterling,£,GBP,penny (pl. pence),pre-decimal sterling
Vatican City,euro,€,EUR,euro cent,lira